,weight,BNPL1,BNPL3,BNPL4_a,BNPL4_b,BNPL4_c,BNPL4_d,BNPL4_e,BNPL4_f,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,I20,ppfs0596,ppeducat,ppage,ppagecat,ppethm,ppgender,ppinc7,ppemploy,ppmarit5,pphhsize,ppkid017,ppfs1482,SL6,B3,A6,C4A,EF1,L0C,I41_c,I41_e,A1_a,A1_b,A1_c,X12_a,X12_b,X12_c,X12_d,X12_e,X12_f,X12_g,EF5C,year
0,0.5404,No,,,,,,,,Yes,No,No,No,No,No,No,No,The same as your income,"$50,000 - $99,999",Bachelor's degree or higher,54,45-54,"White, Non-Hispanic",Male,"$100,000 to $149,999",Working full-time,Now married,4,2,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,2,No,No,No,No,No,,,,,,,,,2021
1,0.7613,No,,,,,,,,Yes,No,No,No,No,No,No,No,More than your income,Not sure,Bachelor's degree or higher,56,55-64,"White, Non-Hispanic",Female,"$75,000 to $99,999",Working part-time,Now married,4,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,Yes,No,No,,,,,,,,,2021
2,0.789,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),76,75+,"White, Non-Hispanic",Male,"$25,000 to $49,999",Not working,Widowed,1,0,Excellent,,About the same,Very confident,Most or all of the time,Yes,,,,,,,,,,,,,,,2021
3,0.5585,No,,,,,,,,Yes,No,No,No,No,No,No,No,Less than your income,,Bachelor's degree or higher,69,65-74,"White, Non-Hispanic",Male,"$150,000 or more",Not working,Now married,2,0,,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
4,0.8362,No,,,,,,,,No,Yes,Yes,No,Yes,No,Yes,Yes,More than your income,"Under $50,000",High school graduate (high school diploma or the equivalent GED),62,55-64,"White, Non-Hispanic",Female,"$50,000 to $74,999",Working part-time,Now married,8,1,Good,,Somewhat worse off,Not confident,Most or all of the time,No,,,,,,,,,,,,,,,2021
5,0.7032,No,,,,,,,,Yes,Yes,No,No,Yes,No,No,No,The same as your income,"$250,000 - $499,999",Some college or Associate's degree,61,55-64,"White, Non-Hispanic",Female,"$50,000 to $74,999",Working part-time,Widowed,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
6,0.6262,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,The same as your income,"$250,000 - $499,999",Bachelor's degree or higher,66,65-74,"White, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Divorced,2,1,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
7,1.3024,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$1,000,000 or more",High school graduate (high school diploma or the equivalent GED),82,75+,"White, Non-Hispanic",Female,"$150,000 or more",Not working,Now married,1,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
8,0.6719,No,,,,,,,,Yes,No,No,No,No,No,No,No,More than your income,"Under $50,000",Some college or Associate's degree,79,75+,"White, Non-Hispanic",Female,"$50,000 to $74,999",Not working,Now married,2,0,Excellent,,Much worse off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
9,0.5518,No,,,,,,,,Yes,No,No,No,No,No,No,No,The same as your income,"$50,000 - $99,999",Bachelor's degree or higher,82,75+,"Other, Non-Hispanic",Male,"$75,000 to $99,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,,,,,,2021
10,0.6083,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,The same as your income,"$250,000 - $499,999",Bachelor's degree or higher,71,65-74,"White, Non-Hispanic",Male,"$150,000 or more",Not working,Now married,4,1,Excellent,,About the same,Somewhat confident,Most or all of the time,Yes,,,,Yes,No,No,,,,,,,,,2021
11,0.9753,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$500,000 - $999,999",Bachelor's degree or higher,89,75+,"White, Non-Hispanic",Female,"$150,000 or more",Not working,Widowed,1,0,Excellent,,Somewhat better off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
12,0.9753,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,Less than your income,"$1,000,000 or more",Bachelor's degree or higher,80,75+,"White, Non-Hispanic",Female,"$150,000 or more",Not working,Now married,2,0,Excellent,,Much worse off,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
13,0.9769,No,,,,,,,,No,No,Yes,No,No,No,No,No,More than your income,"$50,000 - $99,999",High school graduate (high school diploma or the equivalent GED),77,75+,"White, Non-Hispanic",Male,"$50,000 to $74,999",Not working,Now married,2,0,Good,,About the same,Very confident,Most or all of the time,No,,,,,,,,,,,,,,,2021
14,0.7414,No,,,,,,,,Yes,No,Yes,No,No,No,No,No,The same as your income,,High school graduate (high school diploma or the equivalent GED),69,65-74,"White, Non-Hispanic",Male,"$10,000 to $24,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
15,0.5694,No,,,,,,,,No,Yes,No,No,No,No,No,No,More than your income,"$50,000 - $99,999",Bachelor's degree or higher,74,65-74,"White, Non-Hispanic",Female,"$25,000 to $49,999",Not working,Divorced,1,0,Poor,,Somewhat worse off,Not confident,Once,No,,,,Yes,No,Yes,,,,,,,,,2021
16,0.4592,No,,,,,,,,No,No,Yes,No,No,No,No,No,Less than your income,"$100,000 - $249,999",Bachelor's degree or higher,82,75+,"White, Non-Hispanic",Male,"$100,000 to $149,999",Not working,Now married,2,0,Excellent,,About the same,Very confident,Never carried an unpaid balance (always pay in full),Yes,,,,,,,,,,,,,,,2021
